,Title,Year,Rated,Genre,Director,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes
1205,Grand Hotel,1932,Not Rated,"Drama, Romance",Edmund Goulding,A group of very different individuals staying at a luxurious hotel in Berlin deal with each of their respective dramas.,"English, Russian",United States,Won 1 Oscar. 3 wins & 1 nomination total,"Internet Movie Database:7.3/10, Rotten Tomatoes:87%",7.3,"20,230"
1206,Grease,1978,PG,"Comedy, Musical, Romance",Randal Kleiser,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",English,United States,Nominated for 1 Oscar. 7 wins & 10 nominations total,"Internet Movie Database:7.2/10, Rotten Tomatoes:77%, Metacritic:70/100",7.2,"288,325"
1207,The Great Interior Design Challenge,2014–2017,TV-PG,Documentary,N/A,A competitive programme that searches for Britain’s most talented amateur interior designer.,English,United Kingdom,N/A,Internet Movie Database:7.3/10,7.3,496
1208,Hairspray,2007,PG,"Comedy, Drama, Musical",Adam Shankman,Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,English,"United States, United Kingdom, Canada",Nominated for 1 BAFTA Award21 wins & 45 nominations total,"Internet Movie Database:6.7/10, Rotten Tomatoes:92%, Metacritic:81/100",6.7,"135,114"
1209,Hans Zimmer Live in Prague,2017,E,"Documentary, Music",Tim Van Someren,The renowned film score composer leads a concert featuring his cinematic compositions.,English,United Kingdom,N/A,Internet Movie Database:9.1/10,9.1,"2,834"
1210,Harriet the Spy: Blog Wars,2010,TV-PG,"Comedy, Family",Ron Oliver,Young spy Harriet Welsch crosses paths with popular student Marion Hawthorne as the two girls vie to become the official blogger of their high school class.,English,"United States, Canada",1 nomination,Internet Movie Database:4.5/10,4.5,"1,900"
1211,Hart of Dixie,2011–2015,TV-14,"Comedy, Drama, Romance",N/A,"New Yorker and new doctor Zoe Hart accepts an offer from a stranger, Dr. Harley Wilkes, to work in his medical practice in Bluebell, Alabama. She arrives to find that he has died and left half the practice to her in his will.",English,United States,1 win & 4 nominations,Internet Movie Database:7.7/10,7.7,"55,108"
1212,Haseena Maan Jaayegi,1999,N/A,"Action, Comedy, Romance",David Dhawan,"Separated from their wealthy father and each other, two brothers (Sanjay Dutt, Govinda) try to win the hearts of their dream girls.",Hindi,India,4 wins & 10 nominations,Internet Movie Database:6.3/10,6.3,"3,477"
1213,Hedgehogs,2016,PG,Animation,Jianming Huang,"In this uproarious family adventure, a mischievous hedgehog and a chubby pigeon travel to the big city, where they must calm the nervous humans by being their cute, cuddly selves.",English,"China, United States",N/A,Internet Movie Database:4.0/10,4.0,337
1214,Hidden Singer,2012–2015,N/A,Game-Show,N/A,Pop stars and impersonators face off to be the last one standing as the audience tries to determine the real singer by listening to their voices only.,Korean,South Korea,1 nomination,Internet Movie Database:6.3/10,6.3,16
1215,Highway Thru Hell,2012–,N/A,Documentary,N/A,See how a local heavy recovery firm works through the hard winters helping highway users that have fallen victim to the brutal road conditions. Their essential service keeps the traffic on the highways thru hell moving.,English,Canada,3 wins & 19 nominations,Internet Movie Database:8.0/10,8.0,"1,251"
1216,Highway to Heaven,1984–1989,TV-PG,"Drama, Fantasy",N/A,"A probationary angel, sent back to Earth, teams with an ex-cop to help people.",English,United States,Nominated for 7 Primetime Emmys. 3 wins & 20 nominations total,Internet Movie Database:6.8/10,6.8,"6,001"
1217,Ho Mann Jahaan,2015,N/A,"Drama, Music, Musical",Asim Raza,"Three college friends, passionate about music, face difficulties as they pursue their common dream.",Urdu,Pakistan,2 wins & 2 nominations,Internet Movie Database:6.9/10,6.9,"1,894"
1218,Hogie the globehopper,2016,N/A,Animation,N/A,Hogie travels around the world with his friends. He visits and explores exotic countries and learns all about their culture.,English,"Canada, Malaysia",N/A,Internet Movie Database:6.6/10,6.6,16
1219,Homeland,2011–2020,TV-MA,"Crime, Drama, Mystery",N/A,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,English,United States,Won 8 Primetime Emmys. 61 wins & 182 nominations total,Internet Movie Database:8.3/10,8.3,"350,742"
1220,Hope Springs Eternal,2018,PG,"Comedy, Drama",Jack C. Newell,"When 18 year old Hope Gracin suddenly finds herself in remission from end-stage cancer, she must learn to live without an expiration date.",English,United States,N/A,"Internet Movie Database:4.9/10, Rotten Tomatoes:88%",4.9,560
1221,Hotel Transylvania 3: Summer Vacation,2018,PG,"Animation, Adventure, Comedy",Genndy Tartakovsky,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.","English, Spanish, German, Russian","United States, South Korea",2 wins & 9 nominations,"Internet Movie Database:6.3/10, Rotten Tomatoes:62%, Metacritic:54/100",6.3,"79,427"
1222,How the Beatles Changed the World,2017,TV-PG,"Documentary, History, Music",Tom O'Dell,"The history of The Beatles and their influence on everything from music, art, and culture to fashion and politics.",English,"USA, UK",N/A,Internet Movie Database:6.8/10,6.8,"1,193"
1223,How the Grinch Stole Christmas,2000,PG,"Comedy, Family, Fantasy",Ron Howard,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",English,"United States, Germany",Won 1 Oscar. 18 wins & 37 nominations total,"Internet Movie Database:6.3/10, Rotten Tomatoes:49%, Metacritic:46/100",6.3,"269,444"
1224,Hum Saath-Saath Hain,1999,Not Rated,"Drama, Musical",Sooraj R. Barjatya,"Ramkishen and Mamta have three sons Vivek , Prem and Vinod and a daughter Sangeeta. This family is part of a joint family whose close knit bond is challenged by a misunderstanding.",Hindi,India,1 win & 9 nominations,Internet Movie Database:6.3/10,6.3,"9,183"
1225,Humko Deewana Kar Gaye,2006,Not Rated,"Drama, Romance",Raj Kanwar,"Aditya an engineer, travels to Canada for training. There he meets Jia a beautiful woman from an influential family. Fate keeps pushing the pair together, and even though both are already betrothed to others, Adi and Jia fall in l...",Hindi,India,2 nominations,Internet Movie Database:5.2/10,5.2,"4,313"
1226,Humsafar,2011–2012,N/A,"Drama, Romance",N/A,"Khirad and Ashar are a couple who are pressured into marriage due to the untimely death of Khirad's mother. However, Sara, Ashar's best friend, is heartbroken because she is in love with him.",Urdu,Pakistan,N/A,Internet Movie Database:8.9/10,8.9,"4,272"
1227,Huntik: Secrets and Seekers,2009–2012,TV-Y7,"Animation, Action, Adventure",N/A,"Lok and Sophie happen upon a journal left by Lok's father. The Organization, a group of evil Seekers, is after the book, and to survive they must join a group of good Seekers under master adventurer Dante and lone wolf Zhalia.",English,"United States, Italy, Spain",N/A,Internet Movie Database:8.2/10,8.2,"1,205"
1228,I Am Bolt,2016,PG,"Documentary, Biography, Sport","Ben Turner, Gabe Turner","The legacy of the fastest man in history, Usain Bolt.",English,United Kingdom,1 win & 2 nominations,"Internet Movie Database:7.1/10, Rotten Tomatoes:86%, Metacritic:64/100",7.1,"3,708"
1229,I'm in Love with a Church Girl,2013,PG,"Crime, Drama, Romance",Steve Race,"Miles Montego was king of the streets as a high-level drug trafficker. When Miles meets Vanessa, he's drawn to her beauty and her spirituality. As their connection grows, both are tested to their last ounce of faith in God in each...",English,United States,N/A,"Internet Movie Database:4.2/10, Rotten Tomatoes:10%, Metacritic:23/100",4.2,"1,974"
